tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,winner_odds,loser_odds,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240101,11931376.0,3,RR,88.0,100069.0,,,Vitaliy Sachko,R,188.0,UKR,27.0,273679.0,6,,Terence Atmane,L,193.0,FRA,22,2.25,1.57,,7.0,6.0,0.0,0.0,0.0,2.0,1.0,59.0,41.0,33.0,11.0,11,2,3,6.0,1.0,0.0,0.0,0.0,6.0,3.0,63.0,34.0,22.0,15.0,9,5,8,281.0,131
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240102,11929352.0,3,R32,69.0,16720.0,,,Roberto Bautista Agut,R,183.0,ESP,36.0,218259.0,,,Fabian Marozsan,R,193.0,HUN,24,1.62,2.3,,6.0,6.0,0.0,0.0,0.0,3.0,0.0,56.0,38.0,27.0,12.0,9,5,6,2.0,3.0,0.0,0.0,0.0,7.0,4.0,44.0,30.0,21.0,2.0,8,2,6,112.0,43
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11931011.0,3,R32,91.0,185388.0,4,,Ugo Humbert,L,188.0,FRA,26.0,406728.0,,Q,Alex Michelsen,U,193.0,USA,19,1.4,3.0,,6.0,6.0,0.0,0.0,0.0,4.0,1.0,53.0,29.0,24.0,19.0,10,2,2,4.0,4.0,0.0,0.0,0.0,5.0,5.0,72.0,38.0,24.0,18.0,10,8,10,16.0,55
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11925853.0,3,R16,124.0,299538.0,,,Matteo Arnaldi,R,185.0,ITA,23.0,163636.0,,Q,Lukas Klein,R,193.0,SVK,26,1.5,2.63,,6.0,3.0,7.0,0.0,0.0,9.0,3.0,80.0,44.0,37.0,21.0,15,2,4,4.0,6.0,5.0,0.0,0.0,5.0,3.0,87.0,49.0,41.0,18.0,16,2,5,35.0,128
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240102,11929351.0,3,R32,106.0,261015.0,6,,Lorenzo Musetti,R,185.0,ITA,22.0,289106.0,,WC,Chak Lam Coleman Wong,U,191.0,HKG,20,1.2,4.5,,6.0,7.0,0.0,0.0,0.0,4.0,2.0,63.0,42.0,32.0,13.0,11,2,3,4.0,5.0,0.0,0.0,0.0,6.0,4.0,80.0,46.0,32.0,16.0,11,5,8,25.0,179
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11925845.0,3,R16,164.0,124930.0,,,Roman Safiullin,R,185.0,RUS,26.0,128552.0,,,Alexei Popyrin,R,196.0,AUS,24,1.53,2.5,,6.0,6.0,7.0,0.0,0.0,23.0,5.0,123.0,78.0,62.0,27.0,19,13,14,7.0,4.0,6.0,0.0,0.0,13.0,6.0,112.0,79.0,64.0,15.0,17,7,9,44.0,47
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240102,11929357.0,3,R32,109.0,338500.0,8,,Arthur Fils,R,185.0,FRA,20.0,124916.0,,,Borna Gojo,R,196.0,HRV,26,1.53,2.5,,6.0,4.0,6.0,0.0,0.0,2.0,2.0,79.0,48.0,38.0,16.0,13,7,8,3.0,6.0,1.0,0.0,0.0,9.0,2.0,76.0,47.0,35.0,11.0,13,2,6,34.0,172
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240102,11933403.0,3,R32,87.0,145112.0,,Q,Huesler Marc Andrea Husler,L,196.0,CHE,28.0,100069.0,,Q,Vitaliy Sachko,R,188.0,UKR,27,1.53,2.5,,6.0,6.0,0.0,0.0,0.0,10.0,1.0,61.0,39.0,28.0,15.0,10,4,4,4.0,4.0,0.0,0.0,0.0,3.0,2.0,54.0,36.0,28.0,9.0,10,1,3,229.0,281
2437.0,Brisbane,Hardcourt outdoor,,A,20240102,11925858.0,3,R16,135.0,39711.0,,Q,James Duckworth,R,183.0,AUS,32.0,47975.0,,,Yannick Hanfmann,R,193.0,DEU,32,1.91,1.91,,4.0,6.0,7.0,0.0,0.0,22.0,4.0,91.0,66.0,52.0,13.0,15,2,3,6.0,1.0,6.0,0.0,0.0,15.0,4.0,97.0,56.0,43.0,20.0,15,10,12,81.0,110
21817.0,"ATP Hong Kong, Hong Kong Men Singles",Hardcourt outdoor,,A,20240102,11929353.0,3,R32,28.0,83397.0,,,Sebastian Ofner,R,191.0,AUT,28.0,63438.0,,,Mackenzie Mcdonald,R,178.0,USA,29,2.75,1.44,,6.0,6.0,0.0,0.0,0.0,6.0,2.0,44.0,27.0,20.0,8.0,8,0,1,1.0,2.0,0.0,0.0,0.0,0.0,3.0,46.0,30.0,17.0,4.0,7,2,7,45.0,96
