date,surface,player_one,p1_surface_win_ratio,p1_hand_win_ratio,aces_p1_avg,dfs_p1_avg,svpt_p1_avg,firstin_p1_avg,firstwon_p1_avg,secondwon_p1_avg,sv_gms_p1_avg,bp_saved_p1_avg,bp_faced_p1_avg,vaces_p1_avg,vdfs_p1_avg,retpt_p1_avg,vfirstin_p1_avg,vfirstwon_p1_avg,vsecondwon_p1_avg,win_p1_avg,player_two,p2_surface_win_ratio,p2_hand_win_ratio,aces_p2_avg,dfs_p2_avg,svpt_p2_avg,firstin_p2_avg,firstwon_p2_avg,secondwon_p2_avg,sv_gms_p2_avg,bp_saved_p2_avg,bp_faced_p2_avg,vaces_p2_avg,vdfs_p2_avg,retpt_p2_avg,vfirstin_p2_avg,vfirstwon_p2_avg,vsecondwon_p2_avg,win_p2_avg,p1_win?
20230102,Hard,Matteo Berrettini,Taylor Fritz,0.5714285714285714,0.6451612903225806,12.717948717948717,2.128205128205128,88.74358974358974,56.82051282051282,44.58974358974359,16.358974358974358,14.307692307692308,3.7948717948717947,5.512820512820513,5.17948717948718,2.8205128205128207,90.94871794871794,57.94871794871795,41.07692307692308,18.28205128205128,0.717948717948718,0.5950704225352113,0.5807453416149069,10.295081967213115,2.1475409836065573,85.47540983606558,53.08196721311475,40.557377049180324,17.131147540983605,13.852459016393443,3.5737704918032787,5.672131147540983,6.0,3.2295081967213113,89.8360655737705,57.14754098360656,39.967213114754095,15.573770491803279,0.7049180327868853,0
20230102,Hard,Hubert Hurkacz,Taylor Fritz,0.6009615384615384,0.5607843137254902,13.338709677419354,1.6290322580645162,82.56451612903226,52.693548387096776,41.29032258064516,16.370967741935484,13.32258064516129,2.9516129032258065,4.209677419354839,5.919354838709677,2.7903225806451615,84.6774193548387,53.61290322580645,39.11290322580645,16.20967741935484,0.6612903225806451,0.5950704225352113,0.5807453416149069,10.295081967213115,2.1475409836065573,85.47540983606558,53.08196721311475,40.557377049180324,17.131147540983605,13.852459016393443,3.5737704918032787,5.672131147540983,6.0,3.2295081967213113,89.8360655737705,57.14754098360656,39.967213114754095,15.573770491803279,0.7049180327868853,0
20230102,Hard,Frances Tiafoe,Kacper Zuk,0.510548523206751,0.4842105263157895,8.543859649122806,2.43859649122807,91.36842105263158,52.50877192982456,38.80701754385965,20.17543859649123,13.964912280701755,4.5964912280701755,7.105263157894737,9.75438596491228,3.43859649122807,90.36842105263158,56.43859649122807,41.40350877192982,16.526315789473685,0.5964912280701754,0.42857142857142855,0.375,2.0,3.0,69.0,46.0,29.0,11.0,10.0,8.0,11.0,7.0,4.0,59.0,27.0,25.0,17.0,0.0,1
20230102,Hard,Stefanos Tsitsipas,Matteo Berrettini,0.6545454545454545,0.6829896907216495,7.625,2.15,80.55,50.8875,38.8625,16.3375,13.1375,3.55,5.3625,4.875,2.8625,81.525,52.525,37.6,14.6375,0.7125,0.5714285714285714,0.6451612903225806,12.717948717948717,2.128205128205128,88.74358974358974,56.82051282051282,44.58974358974359,16.358974358974358,14.307692307692308,3.7948717948717947,5.512820512820513,5.17948717948718,2.8205128205128207,90.94871794871794,57.94871794871795,41.07692307692308,18.28205128205128,0.717948717948718,1
20230102,Hard,Stefanos Tsitsipas,Borna Coric,0.6545454545454545,0.6829896907216495,7.625,2.15,80.55,50.8875,38.8625,16.3375,13.1375,3.55,5.3625,4.875,2.8625,81.525,52.525,37.6,14.6375,0.7125,0.5443037974683544,0.5396825396825397,6.851851851851852,1.8888888888888888,81.14814814814815,50.2962962962963,36.888888888888886,16.666666666666668,12.925925925925926,3.6666666666666665,5.925925925925926,7.666666666666667,2.814814814814815,82.25925925925925,51.55555555555556,38.074074074074076,15.555555555555555,0.5925925925925926,1
20230102,Hard,Matteo Berrettini,Hubert Hurkacz,0.5714285714285714,0.6451612903225806,12.717948717948717,2.128205128205128,88.74358974358974,56.82051282051282,44.58974358974359,16.358974358974358,14.307692307692308,3.7948717948717947,5.512820512820513,5.17948717948718,2.8205128205128207,90.94871794871794,57.94871794871795,41.07692307692308,18.28205128205128,0.717948717948718,0.6009615384615384,0.5607843137254902,13.338709677419354,1.6290322580645162,82.56451612903226,52.693548387096776,41.29032258064516,16.370967741935484,13.32258064516129,2.9516129032258065,4.209677419354839,5.919354838709677,2.7903225806451615,84.6774193548387,53.61290322580645,39.11290322580645,16.20967741935484,0.6612903225806451,1
20230102,Hard,Taylor Fritz,Cameron Norrie,0.5950704225352113,0.5441176470588235,10.295081967213115,2.1475409836065573,85.47540983606558,53.08196721311475,40.557377049180324,17.131147540983605,13.852459016393443,3.5737704918032787,5.672131147540983,6.0,3.2295081967213113,89.8360655737705,57.14754098360656,39.967213114754095,15.573770491803279,0.7049180327868853,0.5544554455445545,0.5645756457564576,4.591549295774648,2.0,79.3943661971831,51.84507042253521,37.11267605633803,14.070422535211268,12.56338028169014,4.0,6.366197183098592,7.309859154929577,3.3380281690140845,82.1830985915493,50.478873239436616,34.816901408450704,15.014084507042254,0.676056338028169,0
20230102,Hard,Frances Tiafoe,Daniel Evans,0.510548523206751,0.4842105263157895,8.543859649122806,2.43859649122807,91.36842105263158,52.50877192982456,38.80701754385965,20.17543859649123,13.964912280701755,4.5964912280701755,7.105263157894737,9.75438596491228,3.43859649122807,90.36842105263158,56.43859649122807,41.40350877192982,16.526315789473685,0.5964912280701754,0.5142857142857142,0.472,4.2407407407407405,2.388888888888889,73.72222222222223,45.74074074074074,32.75925925925926,14.407407407407407,11.648148148148149,3.685185185185185,6.148148148148148,6.462962962962963,3.2962962962962963,76.33333333333333,47.2962962962963,33.0,14.296296296296296,0.5185185185185185,1
20230102,Hard,David Goffin,Stefanos Tsitsipas,0.5804597701149425,0.5811965811965812,4.653061224489796,3.326530612244898,84.08163265306122,48.57142857142857,34.265306122448976,17.571428571428573,12.755102040816327,4.73469387755102,7.816326530612245,4.510204081632653,3.061224489795918,85.14285714285714,51.59183673469388,35.326530612244895,16.6734693877551,0.5102040816326531,0.6545454545454545,0.6829896907216495,7.625,2.15,80.55,50.8875,38.8625,16.3375,13.1375,3.55,5.3625,4.875,2.8625,81.525,52.525,37.6,14.6375,0.7125,0
20230102,Hard,Grigor Dimitrov,Stefanos Tsitsipas,0.6072234762979684,0.6007005253940455,5.6,2.977777777777778,74.97777777777777,47.13333333333333,35.266666666666666,14.28888888888889,12.2,3.3333333333333335,5.488888888888889,5.7555555555555555,2.933333333333333,79.17777777777778,51.4,36.13333333333333,13.933333333333334,0.5555555555555556,0.6545454545454545,0.6829896907216495,7.625,2.15,80.55,50.8875,38.8625,16.3375,13.1375,3.55,5.3625,4.875,2.8625,81.525,52.525,37.6,14.6375,0.7125,0
