player,last_date,match_number,matches_played,elo_rating,sets_elo_rating,lefty_elo_rating,righty_elo_rating,hard_elo_rating,clay_elo_rating,grass_elo_rating,outdoor_elo_rating,indoor_elo_rating,set_elo_rating,game_elo_rating,service_game_elo_rating,return_game_elo_rating,tie_break_elo_rating
Arthur Ashe,1979-07-23,16,1066,2158.371720766045,1500,1500,1500,1994.4535339823822,2001.0023386520681,1974.5942118348587,1500,1500,1500,1500,1500,1500,1500
Ron Holmberg,1972-08-30,3,122,1660.4939285390321,1500,1500,1500,1599.4645672633071,1651.9251582092743,1593.3624881750031,1500,1500,1500,1500,1500,1500,1500
Peter Mors,1972-04-08,220,9,1572.5420191261574,1500,1500,1500,1540.682302891889,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
Paul Hutchins,1973-07-09,251,46,1499.0007747691484,1500,1500,1500,1556.852592636454,1486.2302544809424,1436.781007292565,1500,1500,1500,1500,1500,1500,1500
Derek Schroder,1975-11-17,277,50,1632.9787543280713,1500,1500,1500,1475.5384384858523,1606.8002757919269,1487.2948821666532,1500,1500,1500,1500,1500,1500,1500
Pete Spiller,1968-01-14,280,2,1538.4723040995225,1500,1500,1500,1533.1633042738304,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
Rohan Summers,1972-04-08,218,20,1513.3987635914687,1500,1500,1500,1469.509851466837,1489.8774274948044,1500.0,1500,1500,1500,1500,1500,1500,1500
Andre Van Der Merwe B,1972-08-01,280,8,1577.1862296504141,1500,1500,1500,1551.3542296792245,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
Mathias Werren,1972-07-16,15,23,1336.2664731999362,1500,1500,1500,1488.4743420498346,1372.7090809766319,1316.822949376011,1500,1500,1500,1500,1500,1500,1500
Rauty Krog,1975-11-17,278,53,1677.9291729399852,1500,1500,1500,1552.8648580171289,1414.180783534131,1673.3719544045161,1500,1500,1500,1500,1500,1500,1500
Richard Coulthard,1968-12-30,272,3,1546.2445777804803,1500,1500,1500,1500.0,1500.0,1541.7864929843838,1500,1500,1500,1500,1500,1500,1500
Allan Stone,1979-10-15,19,482,1916.3100782621477,1500,1500,1500,1753.9937885940049,1758.458041046311,1861.1462254708022,1500,1500,1500,1500,1500,1500,1500
Mike Belkin,1975-02-17,15,141,1816.7894993209995,1500,1500,1500,1636.911945422272,1845.9581645264054,1675.6564233776016,1500,1500,1500,1500,1500,1500,1500
Neale Fraser,1980-01-07,251,31,1561.6134702620036,1500,1500,1500,1598.4405666490127,1543.348981256248,1514.9036037254298,1500,1500,1500,1500,1500,1500,1500
Manuel Orantes,1984-07-23,14,1014,1948.3041224556644,1500,1500,1500,1785.6849086242078,1927.196146588019,1804.851209897157,1500,1500,1500,1500,1500,1500,1500
Robert Wilson,1974-06-03,249,51,1762.6265344967703,1500,1500,1500,1583.1189731442848,1613.4607588444844,1723.077696748837,1500,1500,1500,1500,1500,1500,1500
Phil Dent,1983-11-29,248,755,1867.0814258342448,1500,1500,1500,1669.263297816876,1875.9759746575685,1920.2939016254918,1500,1500,1500,1500,1500,1500,1500
John Fraser,1971-01-23,280,5,1638.5939983196579,1500,1500,1500,1500.0,1500.0,1630.037291302726,1500,1500,1500,1500,1500,1500,1500
Dick Crealy,1981-01-05,3,645,1670.32844338129,1500,1500,1500,1715.8075015596291,1668.9381593498815,1634.7444170539104,1500,1500,1500,1500,1500,1500,1500
Terry Addison,1975-04-21,14,173,1628.5279856309444,1500,1500,1500,1565.4942332829562,1539.9072915443573,1716.291582670188,1500,1500,1500,1500,1500,1500,1500
Ray Keldie,1975-12-21,12,161,1609.0287409408625,1500,1500,1500,1297.3007470360815,1344.2648385770967,1676.2592838713776,1500,1500,1500,1500,1500,1500,1500
Juan Gisbert,1976-11-23,261,380,1848.7604224730983,1500,1500,1500,1768.447051790298,1755.4563075960637,1696.822013994013,1500,1500,1500,1500,1500,1500,1500
Barry Phillips Moore,1980-01-07,241,451,1342.0476898477264,1500,1500,1500,1498.368383135088,1542.9803187685038,1527.4252745538586,1500,1500,1500,1500,1500,1500,1500
Ray Ruffels,1980-01-07,270,435,1733.747159893609,1500,1500,1500,1731.0689779411862,1755.6405585941452,1712.5632158666008,1500,1500,1500,1500,1500,1500,1500
Bill Bowrey,1975-03-26,7,228,1682.558326033242,1500,1500,1500,1617.167857672117,1748.3040681622117,1675.48519274233,1500,1500,1500,1500,1500,1500,1500
Rod Brent,1971-09-01,49,11,1645.36347145648,1500,1500,1500,1500.0,1500.0,1596.8424431737806,1500,1500,1500,1500,1500,1500,1500
Geoff Pollard,1973-01-01,263,7,1543.0457291627476,1500,1500,1500,1544.1555765785258,1500.0,1526.4929986542043,1500,1500,1500,1500,1500,1500,1500
John Brown,1971-01-18,256,35,1665.8784247843435,1500,1500,1500,1563.9487682218198,1553.7147640404305,1648.8088558687948,1500,1500,1500,1500,1500,1500,1500
Ross Case,1983-02-28,1,566,1619.1129643939712,1500,1500,1500,1581.9048571224741,1735.5098484354078,1742.9625866768827,1500,1500,1500,1500,1500,1500,1500
Warren Jacques,1970-04-21,285,5,1422.9156930885786,1500,1500,1500,1500.0,1500.0,1365.2991019582173,1500,1500,1500,1500,1500,1500,1500
Max Pettman,1974-10-21,280,6,1509.3039788930282,1500,1500,1500,1500.0,1435.4597359062393,1497.5912991265893,1500,1500,1500,1500,1500,1500,1500
Will Coghlan,1975-12-26,4,12,1636.0288143643907,1500,1500,1500,1500.0,1457.3143893894337,1592.1358066672456,1500,1500,1500,1500,1500,1500,1500
Barry Geraghty,1969-06-23,4,10,1489.6171350961038,1500,1500,1500,1500.0,1352.91684705129,1446.797055667524,1500,1500,1500,1500,1500,1500,1500
Jun Kamiwazumi,1984-09-24,10,182,1733.0399008230688,1500,1500,1500,1501.902921853391,1740.0744339168007,1587.867167555104,1500,1500,1500,1500,1500,1500,1500
Bill Lloyd,1978-08-14,23,72,1642.5552463172728,1500,1500,1500,1423.9974631667753,1431.727454102926,1687.2524621021942,1500,1500,1500,1500,1500,1500,1500
Merv Guse,1968-01-19,14,2,1572.0,1500,1500,1500,1500.0,1500.0,1572.0,1500,1500,1500,1500,1500,1500,1500
Toshiro Sakai,1985-10-14,16,106,1709.2621667777819,1500,1500,1500,1703.0644243115144,1595.2796269383682,1706.14558891298,1500,1500,1500,1500,1500,1500,1500
Ian Fletcher,1981-08-10,16,207,1660.552692309716,1500,1500,1500,1568.287062909264,1637.484348705203,1778.4304305471494,1500,1500,1500,1500,1500,1500,1500
Graham Stilwell,1975-11-15,1,281,1791.7026317609852,1500,1500,1500,1638.830705577567,1371.403779294695,1727.4316387685199,1500,1500,1500,1500,1500,1500,1500
Colin Stubs,1974-12-21,252,46,1560.0092788579814,1500,1500,1500,1609.254940255935,1625.8985695659942,1341.15194286405,1500,1500,1500,1500,1500,1500,1500
Sutarjo Sugiarto,1973-11-04,288,17,1418.6864563009217,1500,1500,1500,1409.9573172287976,1368.5304052836784,1402.5207773750997,1500,1500,1500,1500,1500,1500,1500
David Smith,1968-01-19,17,1,1620.0,1500,1500,1500,1500.0,1500.0,1620.0,1500,1500,1500,1500,1500,1500,1500
John Newcombe,1981-04-20,283,785,2018.0235411611925,1500,1500,1500,1904.5908584371364,1879.3602044973356,2087.3045646153014,1500,1500,1500,1500,1500,1500,1500
Nikola Pilic,1978-07-17,1,549,1886.5920468178924,1500,1500,1500,1735.9685116400008,1789.3576584350485,1955.9618085777547,1500,1500,1500,1500,1500,1500,1500
Dennis Ralston,1980-06-02,280,282,1811.8295542318554,1500,1500,1500,1612.3458763900892,1773.2582360602007,1853.0397508400663,1500,1500,1500,1500,1500,1500,1500
Cliff Drysdale,1980-06-23,261,648,1953.6078330302182,1500,1500,1500,1839.104222663144,1903.0282574022729,1859.3625783108225,1500,1500,1500,1500,1500,1500,1500
Roger Taylor,1980-11-10,7,670,1711.5329365655255,1500,1500,1500,1741.1009395946678,1740.6200336229208,1724.2367738245273,1500,1500,1500,1500,1500,1500,1500
Tony Roche,1980-10-13,15,542,2046.371586006474,1500,1500,1500,1839.1752362015438,1898.959020556321,2014.935207924873,1500,1500,1500,1500,1500,1500,1500
Pierre Barthes,1977-10-31,20,372,1761.5160712181312,1500,1500,1500,1762.0863473124557,1698.306963843495,1764.843060250564,1500,1500,1500,1500,1500,1500,1500
