Player,Date,Number,Matches,Wins,Elo,Lefty Elo,Righty Elo,Hard Elo,Clay Elo,Grass Elo
Jay Harvey,1980-01-01,8,7,0,1139.610663010862,1250,1250,1189.7209893481427,1187.234346736266,1250.0
Onny Parun,1982-03-05,4,129,0,1300.2897169975492,1250,1250,1335.051088089453,1168.7412066085249,1310.85911481977
Rod Frawley,1984-10-15,3,246,0,1378.4969674903455,1250,1250,1340.9742418725607,1331.065056983779,1313.6846623444114
Eliot Teltscher,1990-08-13,6,608,0,1604.1331063712294,1250,1250,1539.164797464088,1527.0709752864777,1327.7652393360722
Robin Drysdale,1981-07-13,22,74,0,1143.5773303593883,1250,1250,1223.4432796655947,1139.6746921528045,1095.5663718390879
Karl Meiler,1986-07-21,268,125,0,1363.9992334750375,1250,1250,1236.6186017176935,1324.409710898237,1227.5639955365205
Chris Lewis,2005-07-04,3,387,0,1453.6160704289784,1250,1250,1395.0103582830006,1482.0960891480033,1331.1645847951634
Russell Simpson,1987-10-05,285,356,0,1335.3127053460596,1250,1250,1312.4040757931307,1219.0432886525793,1288.6170748342986
Eric Fromm,1987-05-04,7,158,0,1371.0937672936175,1250,1250,1236.304182065792,1396.533024530281,1228.120359847396
Bill Lloyd,1978-10-22,261,18,0,1242.9037302712525,1250,1250,1294.3173424887627,1117.2411893913404,1204.3703117239565
Dale Collings,1982-12-28,3,86,0,1286.7501769142923,1250,1250,1257.2624186033981,1093.5203733617886,1283.1163633660972
Bob Giltinan,1979-07-09,282,31,0,1189.668056400153,1250,1250,1124.3096048404536,1186.3265531141824,1224.3342666617343
John Marks,1980-10-20,8,70,0,1192.7193327335217,1250,1250,1297.297936451155,1068.8886814744412,1170.0038270505797
David Mustard,1987-09-28,251,139,0,1313.3179591133935,1250,1250,1235.6300586263997,1302.4095886052883,1226.5565769493826
Dave Simmonds,1978-01-08,272,2,0,1274.2075590237391,1250,1250,1274.2075590237391,1250.0,1250.0
Garry Slater,1978-01-08,271,2,0,1248.4584877870527,1250,1250,1248.4584877870527,1250.0,1250.0
Ray Kelly,1981-10-05,18,10,0,1201.2077417339888,1250,1250,1177.1610840295166,1260.5059413219988,1229.3830696594528
Chris Kachel,1980-12-26,8,63,0,1096.9880071872128,1250,1250,1221.3013183999562,1168.8837471774386,1154.0307494255146
Allan Stone,1979-10-15,5,35,0,1410.6039335570981,1250,1250,1295.6574839093898,1278.7960378398288,1437.7645862439267
Peter Mcnamara,1987-01-12,10,335,0,1556.7176081916502,1250,1250,1401.740690337608,1545.3188764941644,1305.411813086458
Bob Carmichael,1979-12-24,20,33,0,1195.0624050814401,1250,1250,1355.509164245871,1171.2359463533949,1224.9628949854937
Terry Rocavert,1980-12-26,27,93,0,1260.6073039342352,1250,1250,1355.6397550292227,1182.0564505762732,1161.0081585036078
David Carter,1984-05-06,15,203,0,1315.5660722196656,1250,1250,1194.677408480529,1364.0229886769353,1216.2986866309702
Lawrence Hall,1983-10-17,273,24,0,1309.5671626731066,1250,1250,1336.0405576648286,1189.2898828040782,1257.1779243895523
Charlie Fancutt,1986-03-24,274,87,0,1211.3278643462218,1250,1250,1281.1436625024915,1187.9542155502088,1180.2086476597017
Mal Anderson,1981-10-05,21,7,0,1248.603322147349,1250,1250,1256.7834088358159,1250.0,1197.9694883365717
Syd Ball,1984-01-16,283,108,0,1239.3632372970733,1250,1250,1185.2477100666129,1163.8146628128468,1291.1461234258873
Peter Campbell,1990-02-02,4,55,0,1076.5402286353342,1250,1250,1125.7447611407124,1100.7547593311328,1215.0371003458808
Stevenson Clarke,1979-12-17,30,5,0,1347.2420213888827,1250,1250,1259.1721908947839,1250.0,1308.6495001251974
Noel Jensen,1980-03-17,7,13,0,1081.6123306395082,1250,1250,1159.4522032819984,1199.1874559974688,1195.5905897939922
David Whyte,1980-06-02,245,13,0,1018.5375133832521,1250,1250,1136.5292966763732,1250.0,1032.1565235104958
Christopher Sylvan,1981-04-13,247,27,0,1106.99782507918,1250,1250,1184.853599537882,1127.0042394227983,1198.0945441826868
Bjorn Borg,1993-11-08,16,308,0,1755.9168431176113,1250,1250,1618.174366187174,1791.9916172999713,1593.4408903876931
Roscoe Tanner,1985-01-28,263,376,0,1501.340770425082,1250,1250,1416.992397909804,1343.3276173977977,1472.3801140612798
Vitas Gerulaitis,1986-03-17,11,508,0,1554.0378449582781,1250,1250,1570.7171200498194,1512.441213603949,1388.2020319847238
Raul Ramirez,1983-04-24,20,306,0,1680.8272906165714,1250,1250,1564.7786756499977,1554.6005021724857,1339.6720778831555
Terry Moor,1987-02-09,7,395,0,1443.42907313556,1250,1250,1402.3786014879988,1416.6768633261659,1284.6016086030615
Eddie Dibbs,1984-07-23,12,393,0,1577.9172338232422,1250,1250,1438.411098294086,1573.3450531414173,1250.0
Brian Gottfried,1984-08-28,200,484,0,1547.38909757711,1250,1250,1541.2703718099272,1490.3716394393173,1442.7467023706579
