player_name,player_id,tourney_date,aces,dfs,svpt,firstin,firstwon,secondwon,sv_gms,bp_saved,bp_faced,vaces,vdfs,retpt,vfirstin,vfirstwon,vsecondwon,win,matches,aces_avg,dfs_avg,svpt_avg,firstin_avg,firstwon_avg,secondwon_avg,sv_gms_avg,bp_saved_avg,bp_faced_avg,vaces_avg,vdfs_avg,retpt_avg,vfirstin_avg,vfirstwon_avg,vsecondwon_avg,win_avg
Rafael Nadal,104745,2021-08-02,8,3,114,67,47,27,15,8,10,7,4,103,60,42,20,1,1,8.0,3.0,114.0,67.0,47.0,27.0,15.0,8.0,10.0,7.0,4.0,103.0,60.0,42.0,20.0,1.0
Rafael Nadal,104745,2021-08-02,16,5,195,119,88,40,29,9,13,23,7,184,111,81,33,1,2,8.0,2.5,97.5,59.5,44.0,20.0,14.5,4.5,6.5,11.5,3.5,92.0,55.5,40.5,16.5,0.5
Rafael Nadal,104745,2022-01-03,25,9,259,160,120,55,40,9,14,31,10,254,161,113,45,2,3,8.333333333333334,3.0,86.33333333333333,53.333333333333336,40.0,18.333333333333332,13.333333333333334,3.0,4.666666666666667,10.333333333333334,3.3333333333333335,84.66666666666667,53.666666666666664,37.666666666666664,15.0,0.6666666666666666
Rafael Nadal,104745,2022-01-03,28,10,327,207,156,66,51,14,20,34,11,326,220,150,50,3,4,7.0,2.5,81.75,51.75,39.0,16.5,12.75,3.5,5.0,8.5,2.75,81.5,55.0,37.5,12.5,0.75
Rafael Nadal,104745,2022-01-03,31,12,384,243,184,75,61,14,22,37,14,390,259,172,61,4,5,6.2,2.4,76.8,48.6,36.8,15.0,12.2,2.8,4.4,7.4,2.8,78.0,51.8,34.4,12.2,0.8
Rafael Nadal,104745,2022-01-17,38,14,456,294,227,88,74,16,24,39,16,464,308,198,74,5,6,6.333333333333333,2.3333333333333335,76.0,49.0,37.833333333333336,14.666666666666666,12.333333333333334,2.6666666666666665,4.0,6.5,2.6666666666666665,77.33333333333333,51.333333333333336,33.0,12.333333333333334,0.8333333333333334
Rafael Nadal,104745,2022-01-17,39,19,541,340,262,113,88,18,26,44,17,560,364,232,94,6,7,5.571428571428571,2.7142857142857144,77.28571428571429,48.57142857142857,37.42857142857143,16.142857142857142,12.571428571428571,2.5714285714285716,3.7142857142857144,6.285714285714286,2.4285714285714284,80.0,52.0,33.142857142857146,13.428571428571429,0.8571428571428571
Rafael Nadal,104745,2022-01-17,43,25,639,406,317,131,105,22,31,58,20,669,437,282,108,7,8,5.375,3.125,79.875,50.75,39.625,16.375,13.125,2.75,3.875,7.25,2.5,83.625,54.625,35.25,13.5,0.875
Rafael Nadal,104745,2022-01-17,59,31,727,454,359,155,119,23,33,65,24,773,492,322,131,8,9,6.555555555555555,3.4444444444444446,80.77777777777777,50.44444444444444,39.888888888888886,17.22222222222222,13.222222222222221,2.5555555555555554,3.6666666666666665,7.222222222222222,2.6666666666666665,85.88888888888889,54.666666666666664,35.77777777777778,14.555555555555555,0.8888888888888888
Rafael Nadal,104745,2022-01-17,67,42,873,554,438,176,143,29,41,85,29,910,572,380,162,9,10,6.7,4.2,87.3,55.4,43.8,17.6,14.3,2.9,4.1,8.5,2.9,91.0,57.2,38.0,16.2,0.9
