tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2644.0,Brisbane,Hardcourt outdoor,,A,20240101,11929225.0,3,R64,1677.0,110055.0,,,Lucia Bronzetti,R,170.0,ITA,25,311012.0,,,Ashlyn Krueger,R,185.0,USA,20,,6.0,7.0,0.0,0.0,0.0,1.0,3,75,51,32,12,11,1,4,4.0,5.0,0.0,0.0,0.0,4.0,10,87,57,35,9,10,10,15,81.0,,75,
2644.0,Brisbane,Hardcourt outdoor,,A,20240101,11930389.0,3,R64,57.0,40994.0,,WC,Daria Saville,R,166.0,AUS,30,189986.0,,Q,Dayana Yastremska,R,175.0,UKR,24,,6.0,6.0,0.0,0.0,0.0,4.0,2,50,31,24,11,8,3,3,0.0,4.0,0.0,0.0,0.0,0.0,2,61,33,22,9,8,7,11,82.0,,27,
2554.0,Auckland,Hardcourt outdoor,,A,20240101,11929298.0,3,R32,50.0,207979.0,4,,Emma Navarro,R,170.0,USA,23,306421.0,,,Linda Fruhvirtova,R,172.0,CZE,19,,2.0,6.0,6.0,0.0,0.0,2.0,1,77,52,33,12,13,5,9,6.0,4.0,2.0,0.0,0.0,4.0,8,113,69,44,17,13,7,12,17.0,,147,
2644.0,Brisbane,Hardcourt outdoor,,A,20240101,11930390.0,3,R64,61.0,274049.0,,,Linda Noskova,R,179.0,CZE,19,43102.0,,Q,Timea Babos,R,179.0,HUN,31,,5.0,7.0,7.0,0.0,0.0,5.0,6,133,90,68,22,18,6,7,7.0,6.0,6.0,0.0,0.0,18.0,4,123,84,63,25,18,9,9,26.0,,255,
2644.0,Brisbane,Hardcourt outdoor,,A,20240101,11925999.0,3,R32,95.0,19017.0,8,,Victoria Azarenka,R,183.0,BLR,34,179146.0,,,Anna Kalinskaya,R,175.0,RUS,25,,6.0,7.0,0.0,0.0,0.0,4.0,2,83,47,33,17,10,5,7,1.0,6.0,0.0,0.0,0.0,2.0,3,76,55,30,9,9,7,11,16.0,,18,
2644.0,Brisbane,Hardcourt outdoor,,A,20240101,11925996.0,3,R32,85.0,23082.0,,WC,Arina Rodionova,R,168.0,AUS,34,91960.0,14,,Sofia Kenin,R,170.0,USA,25,,7.0,7.0,0.0,0.0,0.0,4.0,3,78,58,37,11,12,2,5,5.0,6.0,0.0,0.0,0.0,1.0,4,126,86,51,15,12,17,21,103.0,,49,
2644.0,Brisbane,Hardcourt outdoor,,A,20240101,11930392.0,3,R64,33.0,206568.0,,,Clara Burel,R,176.0,FRA,23,237669.0,,Q,Zeynep Sonmez,U,,TUR,22,,6.0,6.0,0.0,0.0,0.0,1.0,4,56,32,24,12,9,4,5,4.0,2.0,0.0,0.0,0.0,0.0,3,53,36,24,5,9,3,7,45.0,,137,
2644.0,Brisbane,Hardcourt outdoor,,A,20240101,11930393.0,3,R64,41.0,58515.0,,,Danielle Collins,R,178.0,USA,30,248326.0,,Q,Hailey Baptiste,R,,USA,22,,6.0,4.0,6.0,0.0,0.0,2.0,6,82,47,32,21,13,4,6,1.0,6.0,3.0,0.0,0.0,5.0,4,75,49,33,9,13,6,11,11.0,,99,
2644.0,Brisbane,Hardcourt outdoor,,A,20240101,11930391.0,3,R64,41.0,254282.0,,Q,Julia Riera,U,,ARG,22,41374.0,,,Viktoriya Tomova,R,170.0,BGR,29,,6.0,6.0,0.0,0.0,0.0,3.0,1,53,34,27,11,9,1,1,2.0,4.0,0.0,0.0,0.0,0.0,2,54,33,17,13,9,1,4,106.0,,48,
2554.0,Auckland,Hardcourt outdoor,,A,20240101,11929303.0,3,R32,79.0,223148.0,,,Xiyu Wang,L,182.0,CHN,23,72758.0,,,Jaqueline Cristian,R,182.0,ROU,26,,6.0,5.0,7.0,0.0,0.0,5.0,4,100,72,51,15,15,6,8,1.0,7.0,6.0,0.0,0.0,2.0,10,103,50,40,21,16,6,10,54.0,,62,
2644.0,Brisbane,Hardcourt outdoor,,A,20240101,11930388.0,3,R64,45.0,232651.0,,Q,Olivia Gadecki,R,,AUS,22,105099.0,,WC,Kimberly Birrell,R,170.0,AUS,26,,4.0,6.0,6.0,0.0,0.0,7.0,7,66,44,38,9,13,0,2,6.0,0.0,4.0,0.0,0.0,4.0,7,94,62,39,13,13,9,14,173.0,,132,
2644.0,Brisbane,Hardcourt outdoor,,A,20240102,11925995.0,3,R32,52.0,42289.0,9,,Magda Linette,R,171.0,POL,32,99131.0,,,Cristina Bucsa,R,176.0,ESP,26,,6.0,7.0,0.0,0.0,0.0,4.0,0,51,34,28,9,10,0,1,3.0,5.0,0.0,0.0,0.0,1.0,0,71,42,28,12,11,9,13,44.0,,64,
