player_name,player_id,tourney_date,aces,dfs,svpt,firstin,firstwon,secondwon,sv_gms,bp_saved,bp_faced,vaces,vdfs,retpt,vfirstin,vfirstwon,vsecondwon,win,matches,aces_avg,dfs_avg,svpt_avg,firstin_avg,firstwon_avg,secondwon_avg,sv_gms_avg,bp_saved_avg,bp_faced_avg,vaces_avg,vdfs_avg,retpt_avg,vfirstin_avg,vfirstwon_avg,vsecondwon_avg,win_avg
Andreas Seppi,104312,2021-06-21,13,4,194,114,78,41,32,10,19,6,7,221,136,82,33,2,3,4.333333333333333,1.3333333333333333,64.66666666666667,38.0,26.0,13.666666666666666,10.666666666666666,3.3333333333333335,6.333333333333333,2.0,2.3333333333333335,73.66666666666667,45.333333333333336,27.333333333333332,11.0,0.6666666666666666
Andreas Seppi,104312,2021-06-28,18,8,270,156,105,53,45,13,28,12,10,297,180,115,52,2,4,4.5,2.0,67.5,39.0,26.25,13.25,11.25,3.25,7.0,3.0,2.5,74.25,45.0,28.75,13.0,0.5
Andreas Seppi,104312,2021-06-28,32,12,419,242,161,88,65,31,49,18,10,443,284,176,75,3,5,6.4,2.4,83.8,48.4,32.2,17.6,13.0,6.2,9.8,3.6,2.0,88.6,56.8,35.2,15.0,0.6
Andreas Seppi,104312,2021-07-19,35,15,482,275,182,99,76,36,59,21,15,516,325,201,90,3,6,5.833333333333333,2.5,80.33333333333333,45.833333333333336,30.333333333333332,16.5,12.666666666666666,6.0,9.833333333333334,3.5,2.5,86.0,54.166666666666664,33.5,15.0,0.5
Andreas Seppi,104312,2021-07-26,50,15,565,330,222,116,88,39,63,36,15,592,377,242,105,3,7,7.142857142857143,2.142857142857143,80.71428571428571,47.142857142857146,31.714285714285715,16.571428571428573,12.571428571428571,5.571428571428571,9.0,5.142857142857143,2.142857142857143,84.57142857142857,53.857142857142854,34.57142857142857,15.0,0.42857142857142855
Andreas Seppi,104312,2021-08-02,54,16,641,364,248,146,103,41,67,47,20,690,436,287,120,4,8,6.75,2.0,80.125,45.5,31.0,18.25,12.875,5.125,8.375,5.875,2.5,86.25,54.5,35.875,15.0,0.5
Andreas Seppi,104312,2021-08-02,56,17,724,413,275,162,115,48,79,56,22,761,475,317,134,4,9,6.222222222222222,1.8888888888888888,80.44444444444444,45.888888888888886,30.555555555555557,18.0,12.777777777777779,5.333333333333333,8.777777777777779,6.222222222222222,2.4444444444444446,84.55555555555556,52.77777777777778,35.22222222222222,14.88888888888889,0.4444444444444444
Andreas Seppi,104312,2021-08-23,63,18,800,455,299,183,125,54,87,63,24,813,505,344,148,4,10,6.3,1.8,80.0,45.5,29.9,18.3,12.5,5.4,8.7,6.3,2.4,81.3,50.5,34.4,14.8,0.4
Andreas Seppi,104312,2021-08-30,67,23,908,518,344,206,144,58,95,78,27,922,565,393,174,4,11,6.090909090909091,2.090909090909091,82.54545454545455,47.09090909090909,31.272727272727273,18.727272727272727,13.090909090909092,5.2727272727272725,8.636363636363637,7.090909090909091,2.4545454545454546,83.81818181818181,51.36363636363637,35.72727272727273,15.818181818181818,0.36363636363636365
Andreas Seppi,104312,2021-08-30,79,26,1029,590,403,227,165,66,107,105,32,1048,642,454,193,5,12,6.583333333333333,2.1666666666666665,85.75,49.166666666666664,33.583333333333336,18.916666666666668,13.75,5.5,8.916666666666666,8.75,2.6666666666666665,87.33333333333333,53.5,37.833333333333336,16.083333333333332,0.4166666666666667
Andreas Seppi,104312,2021-08-30,88,31,1192,682,473,260,191,70,116,114,41,1205,730,523,232,6,13,6.769230769230769,2.3846153846153846,91.6923076923077,52.46153846153846,36.38461538461539,20.0,14.692307692307692,5.384615384615385,8.923076923076923,8.76923076923077,3.1538461538461537,92.6923076923077,56.15384615384615,40.23076923076923,17.846153846153847,0.46153846153846156
Andreas Seppi,104312,2021-09-20,94,38,1279,722,501,280,205,73,123,116,42,1335,829,580,251,6,14,6.714285714285714,2.7142857142857144,91.35714285714286,51.57142857142857,35.785714285714285,20.0,14.642857142857142,5.214285714285714,8.785714285714286,8.285714285714286,3.0,95.35714285714286,59.214285714285715,41.42857142857143,17.928571428571427,0.42857142857142855
Andreas Seppi,104312,2021-09-27,97,40,1336,760,524,288,214,77,131,119,44,1391,863,603,266,6,15,6.466666666666667,2.6666666666666665,89.06666666666666,50.666666666666664,34.93333333333333,19.2,14.266666666666667,5.133333333333334,8.733333333333333,7.933333333333334,2.933333333333333,92.73333333333333,57.53333333333333,40.2,17.733333333333334,0.4
Andreas Seppi,104312,2022-01-03,104,41,1446,825,567,310,229,86,145,124,47,1479,917,642,287,6,16,6.5,2.5625,90.375,51.5625,35.4375,19.375,14.3125,5.375,9.0625,7.75,2.9375,92.4375,57.3125,40.125,17.9375,0.375
Andreas Seppi,104312,2022-01-17,108,45,1527,867,597,324,242,91,156,133,51,1557,963,682,305,6,17,6.352941176470588,2.6470588235294117,89.82352941176471,51.0,35.11764705882353,19.058823529411764,14.235294117647058,5.352941176470588,9.176470588235293,7.823529411764706,3.0,91.58823529411765,56.64705882352941,40.11764705882353,17.941176470588236,0.35294117647058826
