tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962720,5,R64,32,206570,4,,Jannik Sinner,R,188.0,ITA,22,244420,,Q,Jesper De Jong,R,180.0,NLD,24,,6,6,6,0,0,7,1,58,37,32,16,12,0,0,2,2,2,0,0,6,2,80,52,30,11,12,6,12,1,,120,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962732,5,R64,30,163504,3,,Daniil Medvedev,R,198.0,RUS,28,167370,,,Emil Ruusuvuori,R,188.0,FIN,25,,3,6,6,7,6,23,8,175,104,73,32,24,13,18,6,7,4,6,0,1,4,177,109,63,36,25,8,16,5,,87,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962735,5,R64,42,158896,9,,Hubert Hurkacz,R,196.0,POL,27,372312,,Q,Jakub Mensik,U,193.0,CZE,18,,6,6,5,6,6,19,2,135,91,75,26,24,1,3,7,1,7,1,3,19,10,167,102,76,24,23,14,21,7,,78,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962734,5,R64,50,192013,27,,Felix Auger-Aliassime,R,193.0,CAN,23,107357,,Q,Hugo Grenier,R,196.0,FRA,28,,6,3,6,6,0,4,8,102,73,49,15,16,8,11,1,6,1,2,0,6,6,116,69,33,21,15,12,20,17,,183,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962743,5,R64,49,287803,,WC,Arthur Cazaux,R,183.0,FRA,21,283070,8,,Holger Rune,R,188.0,DNK,21,,7,6,4,6,0,18,2,118,74,61,25,20,3,4,6,4,6,3,0,6,4,137,76,55,35,21,5,8,98,,15,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962736,5,R64,57,23581,13,,Grigor Dimitrov,R,191.0,BGR,33,71280,,,Thanasi Kokkinakis,R,193.0,AUS,28,,6,6,4,6,0,8,1,113,82,64,17,19,7,8,3,2,6,4,0,12,3,149,103,67,21,18,12,16,10,,93,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962739,5,R64,54,185388,21,,Ugo Humbert,L,188.0,FRA,26,75813,,,Zhizhen Zhang,R,193.0,CHN,27,,6,5,6,7,0,15,3,133,92,61,24,20,5,7,2,7,1,6,0,14,4,134,90,49,20,19,4,9,16,,38,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962737,5,R64,37,122368,28,,Tallon Griekspoor,R,188.0,NLD,28,338500,,,Arthur Fils,R,185.0,FRA,20,,3,6,7,6,0,11,3,110,76,54,23,19,3,5,6,1,5,4,0,13,11,115,63,48,23,19,5,10,27,,34,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962710,5,R64,40,348853,,WC,Juncheng Shang,L,180.0,CHN,19,131566,,Q,Sumit Nagal,R,178.0,IND,26,,2,6,7,6,0,8,3,129,86,62,25,20,5,7,6,3,5,4,0,7,1,113,76,49,26,19,7,10,91,,73,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962733,5,R64,41,125006,,,Nuno Borges,R,185.0,PRT,27,157456,23,,Alejandro Davidovich Fokina,R,183.0,ESP,25,,7,6,6,0,0,7,5,114,74,53,22,15,7,9,6,3,3,0,0,5,4,98,66,41,16,15,4,9,50,,36,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962703,5,R64,60,275923,2,,Carlos Alcaraz,R,183.0,ESP,21,104847,,,Lorenzo Sonego,R,191.0,ITA,29,,6,6,6,7,0,12,4,130,87,68,30,22,3,4,4,7,3,6,0,10,2,142,103,67,26,21,3,6,3,,54,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962704,5,R64,62,198592,,,Miomir Kecmanovic,R,183.0,SRB,24,46391,24,,Lennard Struff,R,193.0,DEU,34,,6,1,7,1,7,10,8,159,114,73,27,23,3,8,4,6,6,6,6,23,7,179,130,90,27,25,12,14,52,,41,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962698,5,R64,58,138546,14,,Tommy Paul,R,185.0,USA,27,258749,,,Jack Draper,L,193.0,GBR,22,,6,3,6,7,0,9,4,110,66,50,26,19,2,5,2,6,3,5,0,4,2,121,69,46,27,19,13,19,13,,28,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962731,5,R64,71,57163,6,,Alexander Zverev,R,198.0,DEU,27,163636,,Q,Lukas Klein,R,193.0,SVK,26,,7,3,4,7,7,21,2,179,134,105,18,27,7,10,5,6,6,6,6,13,5,206,138,99,35,28,8,10,4,,128,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962727,5,R64,39,95935,19,,Cameron Norrie,L,188.0,GBR,28,237188,,Q,Giulio Zeppieri,L,183.0,ITA,22,,3,6,6,6,6,16,4,145,104,79,22,23,3,5,6,7,2,4,4,29,8,160,96,75,28,25,6,11,42,,153,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962728,5,R64,127,406728,,,Alex Michelsen,U,193.0,USA,19,254742,32,,Jiri Lehecka,R,185.0,CZE,22,,4,6,6,6,0,7,3,117,79,62,20,20,4,6,6,3,4,4,0,10,3,116,81,55,21,19,8,12,55,,26,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962726,5,R64,59,119248,11,,Casper Ruud,R,183.0,NOR,25,124658,,,Max Purcell,R,185.0,AUS,26,,6,6,6,3,7,22,5,175,126,99,28,26,12,13,3,7,3,6,6,27,6,160,107,84,30,25,8,10,8,,68,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962738,5,R64,36,106755,5,,Andrey Rublev,R,188.0,RUS,26,197516,,,Christopher Eubanks,R,200.99999999999997,USA,28,,6,6,6,0,0,10,0,79,60,51,14,15,3,3,4,4,4,0,0,10,2,95,74,49,11,15,7,10,6,,62,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962746,5,R64,45,201239,10,,Alex de Minaur,R,183.0,AUS,25,299538,,,Matteo Arnaldi,R,185.0,ITA,23,,6,6,6,0,0,4,3,82,49,37,17,12,5,6,3,0,3,0,0,4,2,82,40,24,15,12,7,14,9,,35,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962718,5,R64,65,221806,26,,Sebastian Baez,R,170.0,ARG,23,92074,,,Elahi Galan,R,191.0,COL,28,,7,2,6,6,0,4,5,114,82,56,17,19,1,5,5,6,2,4,0,6,2,141,92,59,22,19,14,20,18,,103,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962742,5,R64,44,273680,,Q,Cobolli Cobolli,R,183.0,ITA,22,203258,,,Pavel Kotov,R,191.0,RUS,25,,7,6,5,6,0,5,4,126,71,52,30,21,6,9,5,3,7,2,0,2,5,117,74,48,24,20,3,9,48,,53,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962729,5,R64,39,14882,1,,Novak Djokovic,R,188.0,SRB,37,128552,,,Alexei Popyrin,R,196.0,AUS,24,,6,4,7,6,0,11,0,119,73,60,27,21,5,7,3,6,6,3,0,17,4,111,65,48,26,19,8,11,2,,47,
2363,Australian Open,Hardcourt outdoor,,G,20240117,11962715,5,R64,31,90080,15,,Karen Khachanov,R,198.0,RUS,28,187608,,Q,Aleksandar Kovacevic,R,183.0,USA,25,,6,6,4,6,0,22,0,103,68,51,22,19,7,10,4,3,6,3,0,16,5,114,65,46,22,19,6,12,22,,88,
