tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2361,Wimbledon,Grass,,G,20240702,12477737,5,R128,145,104847,,,Lorenzo Sonego,R,191.0,ITA,29,271389,31,,Mariano Navone,U,178.0,ARG,23,,6,7,6,0,0,8,3,96,71,54,16,16,3,4,4,6,4,0,0,8,1,112,72,48,19,16,8,11,54,,32,
2361,Wimbledon,Grass,,G,20240702,12478352,5,R128,318,201239,9,,Alex De Minaur,R,183.0,AUS,25,39711,,LL,James Duckworth,R,183.0,AUS,32,,7,7,7,0,0,16,7,124,63,51,30,18,4,7,6,6,6,0,0,9,4,173,100,64,34,18,16,19,9,,81,
2361,Wimbledon,Grass,,G,20240702,12477656,5,R128,188,169496,30,,Martin Etcheverry,R,196.0,ARG,24,289233,,,Luca Nardi,R,185.0,ITA,20,,6,6,6,0,0,3,1,68,48,41,12,13,0,0,1,4,2,0,0,8,3,68,44,31,6,12,2,7,31,,75,
2361,Wimbledon,Grass,,G,20240702,12477680,5,R128,158,198592,,,Miomir Kecmanovic,R,183.0,SRB,24,131566,,,Sumit Nagal,R,178.0,IND,26,,6,3,6,6,0,6,2,105,63,43,25,18,7,11,2,6,3,4,0,3,4,121,79,52,15,18,12,19,52,,73,
2361,Wimbledon,Grass,,G,20240702,12477843,5,R128,89,229218,,Q,Otto Virtanen,R,193.0,FIN,23,124658,,,Max Purcell,R,185.0,AUS,26,,6,6,6,0,0,19,3,79,54,43,14,13,6,6,3,2,2,0,0,4,3,77,50,35,9,12,7,12,147,,68,
2361,Wimbledon,Grass,,G,20240702,12477845,5,R128,136,138546,12,,Tommy Paul,R,185.0,USA,27,77223,,,Pedro Martinez,R,185.0,ESP,27,,6,6,4,6,0,10,0,91,48,39,25,17,2,4,2,1,6,3,0,1,9,107,71,46,13,17,4,11,13,,49,
2361,Wimbledon,Grass,,G,20240702,12477681,5,R128,178,206570,1,,Jannik Sinner,R,188.0,ITA,22,47975,,,Yannick Hanfmann,R,193.0,DEU,32,,6,6,3,6,0,16,3,129,76,60,26,19,9,11,3,4,6,3,0,12,3,114,78,53,17,18,1,5,1,,110,
2361,Wimbledon,Grass,,G,20240702,12477715,5,R128,343,308084,,,Luciano Darderi,R,183.0,ITA,22,105607,,WC,Jan Choinski,R,196.0,GBR,28,,7,4,2,7,6,17,8,144,92,72,24,25,9,14,5,6,6,5,2,6,4,175,126,84,23,24,16,22,37,,174,
2361,Wimbledon,Grass,,G,20240702,12477712,5,R128,220,59281,,,Yoshihito Nishioka,L,170.0,JPN,28,125006,,,Nuno Borges,R,185.0,PRT,27,,6,7,2,6,0,3,1,126,77,53,29,19,6,9,2,6,6,3,0,21,7,112,73,58,16,18,7,11,90,,50,
2361,Wimbledon,Grass,,G,20240703,12477697,5,R128,1528,71280,,,Thanasi Kokkinakis,R,193.0,AUS,28,192013,17,,Felix Auger Aliassime,R,193.0,CAN,23,,4,5,7,6,6,19,4,155,97,79,31,27,5,8,6,7,6,4,4,22,8,169,111,89,28,27,7,10,93,,17,
2361,Wimbledon,Grass,,G,20240703,12457864,3,R64,114,14844,,,Gael Monfils,R,193.0,FRA,37,14548,,,Stan Wawrinka,R,183.0,CHE,39,,7,6,5,0,0,12,1,91,62,51,22,15,2,2,6,4,5,0,0,5,0,96,58,42,27,16,9,10,33,,95,
2361,Wimbledon,Grass,,G,20240703,12457867,5,R64,223,206570,1,,Jannik Sinner,R,188.0,ITA,22,112783,,,Matteo Berrettini,R,196.0,ITA,28,,7,7,2,7,0,10,2,138,91,72,25,22,3,7,6,6,6,6,0,28,3,164,118,82,21,22,8,10,1,,59,
2361,Wimbledon,Grass,,G,20240703,12457860,5,R64,204,46391,,,Lennard Struff,R,193.0,DEU,34,75813,32,,Zhizhen Zhang,R,193.0,CHN,27,,5,6,7,7,0,20,9,137,74,62,39,23,4,6,7,3,6,6,0,19,2,146,96,79,22,22,8,10,41,,38,
2361,Wimbledon,Grass,,G,20240703,12477660,5,R128,381,161262,,,Thiago Seyboth Wild,R,185.0,BRA,24,220537,,WC,Paul Jubb,R,180.0,GBR,24,,1,3,7,6,7,17,7,160,101,69,27,24,7,14,6,6,6,4,5,10,8,181,103,70,41,25,14,19,74,,201,
2361,Wimbledon,Grass,,G,20240703,12458032,5,R64,229,138546,12,,Tommy Paul,R,185.0,USA,27,229218,,Q,Otto Virtanen,R,193.0,FIN,23,,4,6,5,7,6,9,2,151,106,83,26,27,8,11,6,3,7,5,4,11,5,149,84,60,39,26,7,11,13,,147,
2361,Wimbledon,Grass,,G,20240703,12477733,5,R128,235,255420,,,Francisco Comesana,R,178.0,ARG,23,106755,6,,Andrey Rublev,R,188.0,RUS,26,,6,5,6,7,0,21,2,136,95,70,22,21,8,10,4,7,2,6,0,6,4,130,72,56,24,21,1,5,122,,6,
2361,Wimbledon,Grass,,G,20240703,12477675,5,R128,1306,385485,14,,Ben Shelton,L,193.0,USA,21,294337,,Q,Mattia Bellucci,L,175.0,ITA,23,,4,6,3,6,6,19,5,149,108,80,22,24,12,14,6,3,6,3,4,11,6,147,76,60,40,23,9,12,14,,148,
2361,Wimbledon,Grass,,G,20240703,12477652,5,R128,235,275948,,WC,Jacob Fearnley,U,183.0,GBR,22,250857,,Q,Alejandro Moro Canas,U,183.0,ESP,23,,7,6,7,0,0,8,4,107,67,57,24,17,3,3,5,4,6,0,0,1,1,129,91,65,19,17,8,10,277,,188,
2361,Wimbledon,Grass,,G,20240703,12477732,5,R128,183,207575,,,Adam Walton,U,183.0,AUS,25,54573,,,Federico Coria,R,180.0,ARG,32,,6,6,7,0,0,4,1,78,49,36,23,15,2,3,3,3,5,0,0,4,1,93,70,43,9,15,3,8,101,,72,
2361,Wimbledon,Grass,,G,20240703,12477702,5,R128,113,57163,4,,Alexander Zverev,R,198.0,DEU,27,51141,,,Roberto Carballes Baena,R,183.0,ESP,31,,6,6,6,0,0,18,2,69,51,44,11,13,5,5,2,4,2,0,0,7,3,95,53,30,22,13,9,14,4,,64,
2361,Wimbledon,Grass,,G,20240703,12477653,5,R128,118,14882,2,,Novak Djokovic,R,188.0,SRB,37,199395,,Q,Vit Kopriva,R,178.0,CZE,27,,6,6,6,0,0,10,2,58,39,35,13,12,0,0,1,2,2,0,0,4,5,96,53,29,17,11,9,15,2,,123,
2361,Wimbledon,Grass,,G,20240703,12477700,5,R128,127,338500,,,Arthur Fils,R,185.0,FRA,20,296369,,,Stephan Stricker,L,183.0,CHE,21,,6,6,3,6,0,15,2,110,79,63,16,18,5,6,3,2,6,4,0,11,6,105,62,48,19,18,6,10,34,,149,
2361,Wimbledon,Grass,,G,20240703,12477710,5,R128,144,122366,11,,Stefanos Tsitsipas,R,193.0,GRC,25,48632,,,Taro Daniel,R,191.0,JPN,31,,7,6,7,0,0,15,2,108,74,57,20,17,6,7,6,4,5,0,0,10,2,121,62,42,35,17,7,10,11,,84,
2361,Wimbledon,Grass,,G,20240703,12477661,5,R128,97,283070,15,,Holger Rune,R,188.0,DNK,21,97647,,,Soonwoo Kwon,R,180.0,KOR,26,,6,6,6,0,0,16,2,68,42,40,16,14,0,0,1,4,4,0,0,2,3,86,53,35,14,13,9,13,15,,367,
2361,Wimbledon,Grass,,G,20240703,12477703,5,R128,147,42379,,,Marcos Giron,R,180.0,USA,30,406808,,WC,Henry Searle,U,193.0,GBR,18,,3,6,6,6,0,10,1,114,73,60,21,19,5,6,6,3,4,4,0,17,5,122,70,53,25,19,9,12,46,,539,
2361,Wimbledon,Grass,,G,20240703,12477705,5,R128,208,258749,28,,Jack Draper,L,193.0,GBR,22,83661,,Q,Elias Ymer,R,185.0,SWE,28,,3,6,6,4,6,14,3,132,80,60,27,23,6,11,6,3,3,6,3,13,7,151,86,56,30,23,10,17,28,,205,
2361,Wimbledon,Grass,,G,20240703,12477707,5,R128,176,273680,,,Cobolli Cobolli,R,183.0,ITA,22,237452,,,Rinky Hijikata,R,178.0,AUS,23,,7,4,6,6,0,13,2,126,61,46,40,21,4,6,5,6,4,4,0,12,6,148,85,63,29,21,14,18,48,,77,
2361,Wimbledon,Grass,,G,20240703,12477704,5,R128,137,95935,,,Cameron Norrie,L,188.0,GBR,28,264372,,,Facundo Diaz Acosta,L,183.0,ARG,23,,7,7,6,0,0,4,5,80,54,41,14,16,1,5,5,5,3,0,0,3,7,108,70,38,17,17,5,13,42,,67,
2361,Wimbledon,Grass,,G,20240703,12477709,5,R128,91,136042,13,,Taylor Fritz,R,196.0,USA,26,58221,,,Christopher Oconnell,R,183.0,AUS,30,,6,6,6,0,0,18,2,63,38,36,17,13,2,2,1,2,4,0,0,3,2,88,56,33,12,12,3,8,12,,79,
