tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2554,Auckland,Hard,,A,20240101,11929301,19704,7,,Petra Martic,R,181,HRV,33,124804,,,Rebeka Masarova,R,186,ESP,24,3-6 6-3 6-3,3,R32,58,5,2,78,50,30,20,13,4,6,4,4,95,60,38,16,14,8,12,85,,109,
2554,Auckland,Hard,,A,20240101,11931027,195182,,Q,Sun Sun,L,,NZL,23,233214,,Q,Mccartney Kessler,U,,USA,25,6-4 6-3 0-0,3,R32,38,2,2,46,26,21,18,9,2,4,1,4,63,39,23,7,10,3,8,123,,119,
2554,Auckland,Hard,,A,20240101,11929306,230628,,WC,Amanda Anisimova,R,180,USA,22,19546,,,Anastasia Pavlyuchenkova,R,176,RUS,33,7-5(2) 6-4 0-0,3,R32,53,6,4,94,58,35,13,11,8,13,1,2,74,41,22,11,11,7,14,189,,28,
2554,Auckland,Hard,,A,20240101,11929305,105463,5,,Marie Bouzkova,R,180,CZE,25,71250,,,Magdalena Frech,R,171,POL,26,6-0 3-6 6-4,3,R32,63,1,3,66,43,30,11,12,1,4,0,2,100,58,33,18,13,10,16,40,,58,
2554,Auckland,Hard,,A,20240101,11931026,337408,,Q,Brenda Fruhvirtova,R,,CZE,17,189995,,,Anna Blinkova,R,179,RUS,25,7-5(2) 6-4 0-0,3,R32,46,1,6,64,44,30,8,11,2,5,2,4,75,54,30,9,11,7,12,88,,60,
2644,Brisbane,Hard,,A,20240102,11925998,254282,,Q,Julia Riera,U,,ARG,22,67759,7,,Ekaterina Alexandrova,R,175,RUS,29,6-3 6-4 0-0,3,R32,43,4,2,75,72,45,1,10,8,9,0,6,53,47,31,0,9,4,7,106,,22,
2644,Brisbane,Hard,,A,20240102,11925991,66968,6,,Veronika Kudermetova,R,175,RUS,27,46304,,,Karolina Schmiedlova,R,176,SVK,29,6-2 6-3 0-0,3,R32,44,12,2,44,30,26,9,8,0,0,1,2,47,28,19,7,9,3,7,38,,74,
2644,Brisbane,Hard,,A,20240102,11925989,20732,16,,Karolina Pliskova,R,186,CZE,32,66476,,WC,Naomi Osaka,R,180,JPN,26,3-6 7-6(2) 6-4,3,R32,47,16,11,104,68,57,14,15,10,12,14,2,97,64,52,15,16,0,2,46,,113,
2644,Brisbane,Hard,,A,20240102,11925983,210831,11,,Anastasia Potapova,R,175,RUS,23,40994,,WC,Daria Saville,R,166,AUS,30,6-4 3-6 6-4,3,R32,58,2,3,99,53,32,21,15,5,11,1,9,122,83,47,17,14,11,17,41,,82,
2644,Brisbane,Hard,,A,20240102,11925997,274049,,,Linda Noskova,R,179,CZE,19,19728,10,,Sorana Cirstea,R,176,ROU,34,6-4 4-6 6-4,3,R32,44,8,4,133,127,80,1,15,11,13,10,1,100,98,63,0,15,5,8,26,,31,
2644,Brisbane,Hard,,A,20240102,11925990,157754,1,,Aryna Sabalenka,R,182,BLR,26,110055,,,Lucia Bronzetti,R,170,ITA,25,6-3 6-0 0-0,3,R32,23,8,1,44,26,21,12,8,1,1,3,3,32,14,9,6,7,1,5,3,,81,
2644,Brisbane,Hard,,A,20240102,11925988,132370,5,,Daria Kasatkina,R,170,RUS,27,230056,,,Marta Kostyuk,R,175,UKR,22,6-3 6-4 0-0,3,R32,47,0,5,51,28,21,10,9,0,2,3,4,74,45,27,8,10,7,12,12,,19,
2644,Brisbane,Hard,,A,20240102,11925994,64496,3,,Jelena Ostapenko,R,177,LVA,27,44309,,,Camila Giorgi,R,168,ITA,32,6-1 6-4 0-0,3,R32,49,9,4,49,28,25,9,9,1,2,4,5,60,32,17,12,8,5,9,14,,116,
2644,Brisbane,Hard,,A,20240102,11926000,206568,,,Clara Burel,R,176,FRA,23,90664,12,,Anhelina Kalinina,R,180,UKR,27,6-4 6-1 0-0,3,R32,32,2,4,52,29,20,11,8,3,5,1,4,69,49,22,8,9,6,12,45,,47,
2644,Brisbane,Hard,,A,20240102,11925978,406776,,,Mirra Andreeva,R,175,RUS,17,128584,4,,Liudmila Samsonova,R,182,RUS,25,6-2 6-1 0-0,3,R32,33,2,3,44,28,22,9,7,2,2,4,7,49,21,15,7,8,2,7,23,,15,
2644,Brisbane,Hard,,A,20240102,11925980,186312,2,,Elena Rybakina,R,184,KAZ,25,232651,,Q,Olivia Gadecki,R,,AUS,22,6-4 6-1 0-0,3,R32,32,4,1,53,36,29,9,9,3,3,0,2,54,36,24,6,8,2,5,4,,173,
2644,Brisbane,Hard,,A,20240102,11925975,45584,15,,Lin Zhu,R,173,CHN,30,58515,,,Danielle Collins,R,178,USA,30,1-6 6-3 7-6(2),3,R32,79,6,9,93,62,38,11,14,2,9,9,1,104,63,34,21,14,9,15,61,,11,
2644,Brisbane,Hard,,A,20240102,11925976,78551,13,,Elise Mertens,R,179,BEL,28,23158,,,Sloane Stephens,R,170,USA,31,2-6 6-1 6-3,3,R32,41,5,4,63,37,26,14,12,2,5,1,2,66,51,33,4,12,3,8,33,,50,
2554,Auckland,Hard,,A,20240102,11927271,223148,,,Xiyu Wang,L,182,CHN,23,227431,6,,Xinyu Wang,R,182,CHN,22,6-3 3-6 7-6(2),3,R16,64,6,4,95,66,49,15,15,5,8,2,5,104,65,44,19,15,6,9,54,,42,
2554,Auckland,Hard,,A,20240102,11927274,207979,4,,Emma Navarro,R,170,USA,23,262594,,,Elina Avanesyan,R,172,RUS,21,6-1 6-2 0-0,3,R16,36,1,2,56,37,28,7,8,2,3,0,3,56,31,16,10,7,3,8,17,,77,
2554,Auckland,Hard,,A,20240102,11927267,105463,5,,Marie Bouzkova,R,180,CZE,25,230628,,WC,Amanda Anisimova,R,180,USA,22,6-0 6-1 0-0,3,R16,30,0,0,37,30,23,6,7,2,2,1,3,36,24,11,3,6,4,9,40,,189,
2554,Auckland,Hard,,A,20240102,11927277,247791,,,Diane Parry,R,170,FRA,21,36067,3,,Lesia Tsurenko,R,174,UKR,35,2-6 6-4 6-1,3,R16,34,2,1,75,42,29,18,13,3,6,0,3,64,41,25,15,12,5,9,53,,59,
2644,Brisbane,Hard,,A,20240102,11925995,42289,9,,Magda Linette,R,171,POL,32,99131,,,Cristina Bucsa,R,176,ESP,26,6-3 7-5(2) 0-0,3,R32,52,4,0,51,34,28,9,10,0,1,1,0,71,42,28,12,11,9,13,44,,64,
2644,Brisbane,Hard,,A,20240103,11925982,210831,11,,Anastasia Potapova,R,175,RUS,23,66968,6,,Veronika Kudermetova,R,175,RUS,27,7-5(2) 6-7 6-4,3,R16,64,4,4,113,89,59,13,17,4,7,9,1,124,91,54,18,17,10,15,41,,38,
2644,Brisbane,Hard,,A,20240103,11925986,19017,8,,Victoria Azarenka,R,183,BLR,34,206568,,,Clara Burel,R,176,FRA,23,7-5(2) 6-2 0-0,3,R16,37,3,2,69,56,41,3,10,4,5,3,2,50,34,20,7,10,1,5,16,,45,
2644,Brisbane,Hard,,A,20240103,11925974,274049,,,Linda Noskova,R,179,CZE,19,254282,,Q,Julia Riera,U,,ARG,22,6-1 6-7 6-3,3,R16,37,2,4,88,65,43,12,13,4,7,6,2,108,81,44,12,15,11,19,26,,106,
2644,Brisbane,Hard,,A,20240103,11925972,64496,3,,Jelena Ostapenko,R,177,LVA,27,20732,16,,Karolina Pliskova,R,186,CZE,32,6-2 4-6 6-3,3,R16,53,4,5,104,71,48,14,14,8,11,18,3,100,61,44,11,13,7,12,14,,46,
2644,Brisbane,Hard,,A,20240103,11925984,406776,,,Mirra Andreeva,R,175,RUS,17,23082,,WC,Arina Rodionova,R,168,AUS,34,6-1 6-1 0-0,3,R16,35,2,1,40,27,24,6,7,1,1,1,4,46,38,19,1,7,7,12,23,,103,
2644,Brisbane,Hard,,A,20240103,11925981,132370,5,,Daria Kasatkina,R,170,RUS,27,42289,9,,Magda Linette,R,171,POL,32,6-4 6-2 0-0,3,R16,42,4,3,58,42,34,3,9,2,4,2,3,64,50,27,4,9,8,13,12,,44,
2554,Auckland,Hard,,A,20240103,11927268,19704,7,,Petra Martic,R,181,HRV,33,190996,,,Yue Yuan,R,178,CHN,25,6-2 6-2 0-0,3,R16,38,6,4,39,22,22,10,8,0,0,2,1,59,43,22,8,8,5,9,85,,39,
2644,Brisbane,Hard,,A,20240103,11925979,157754,1,,Aryna Sabalenka,R,182,BLR,26,45584,15,,Lin Zhu,R,173,CHN,30,6-1 6-0 0-0,3,R16,34,9,2,54,31,24,11,7,4,5,1,4,38,21,11,1,6,5,11,3,,61,
2554,Auckland,Hard,,A,20240103,11927270,264983,1,,Cori Gauff,R,175,USA,20,337408,,Q,Brenda Fruhvirtova,R,,CZE,17,6-3 6-0 0-0,3,R16,29,5,4,49,27,23,9,8,5,6,2,3,48,26,13,6,7,1,6,2,,88,
2554,Auckland,Hard,,A,20240103,11927273,215755,8,,Varvara Gracheva,R,178,FRA,23,195182,,Q,Sun Sun,L,,NZL,23,6-3 6-4 0-0,3,R16,48,4,1,58,35,30,14,10,2,2,5,4,64,31,22,16,9,7,9,70,,123,
2554,Auckland,Hard,,A,20240103,11927279,51293,2,,Elina Svitolina,R,174,UKR,29,258756,,WC,Emma Raducanu,R,175,GBR,21,6-7 7-6(2) 6-1,3,R16,31,11,3,128,86,55,21,16,9,13,6,6,104,65,39,18,15,8,14,21,,135,
2644,Brisbane,Hard,,A,20240103,11925970,186312,2,,Elena Rybakina,R,184,KAZ,25,78551,13,,Elise Mertens,R,179,BEL,28,6-1 6-0 0-0,3,R16,30,4,0,42,36,29,2,7,1,1,3,1,42,28,13,4,6,10,15,4,,33,
2644,Brisbane,Hard,,A,20240104,11925973,274049,,,Linda Noskova,R,179,CZE,19,406776,,,Mirra Andreeva,R,175,RUS,17,7-5(2) 6-3 0-0,3,QF,39,5,4,71,46,27,15,10,5,8,2,4,69,44,25,12,11,3,9,26,,23,
2644,Brisbane,Hard,,A,20240104,11925971,157754,1,,Aryna Sabalenka,R,182,BLR,26,132370,5,,Daria Kasatkina,R,170,RUS,27,6-1 6-4 0-0,3,QF,54,4,2,61,38,30,10,9,3,4,0,5,60,39,26,4,8,7,11,3,,12,
2644,Brisbane,Hard,,A,20240104,11925993,186312,2,,Elena Rybakina,R,184,KAZ,25,210831,11,,Anastasia Potapova,R,175,RUS,23,6-1 0-0 0-0,3,QF,44,2,0,25,17,13,4,4,3,3,0,0,18,11,3,5,3,1,3,4,,41,
2644,Brisbane,Hard,,A,20240104,11925992,19017,8,,Victoria Azarenka,R,183,BLR,34,64496,3,,Jelena Ostapenko,R,177,LVA,27,6-3 3-6 7-5(2),3,QF,69,16,2,111,71,53,17,15,7,10,2,5,92,50,33,20,15,4,8,16,,14,
2554,Auckland,Hard,,A,20240104,11927265,264983,1,,Cori Gauff,R,175,USA,20,215755,8,,Varvara Gracheva,R,178,FRA,23,6-1 6-1 0-0,3,QF,29,5,1,40,29,21,8,7,0,0,1,2,46,29,14,6,7,2,7,2,,70,
2554,Auckland,Hard,,A,20240104,11927272,223148,,,Xiyu Wang,L,182,CHN,23,247791,,,Diane Parry,R,170,FRA,21,6-7 6-3 6-4,3,QF,53,4,4,126,91,59,13,16,14,18,4,3,100,60,41,15,15,4,10,54,,53,
2554,Auckland,Hard,,A,20240104,11927278,51293,2,,Elina Svitolina,R,174,UKR,29,105463,5,,Marie Bouzkova,R,180,CZE,25,6-0 6-3 0-0,3,QF,40,3,1,49,30,19,13,8,2,3,0,0,36,23,13,1,7,4,9,21,,40,
2554,Auckland,Hard,,A,20240104,11927276,207979,4,,Emma Navarro,R,170,USA,23,19704,7,,Petra Martic,R,181,HRV,33,6-4 6-3 0-0,3,QF,41,2,1,59,48,33,3,10,3,6,7,4,62,32,19,11,9,5,11,17,,85,
2644,Brisbane,Hard,,A,20240105,11925987,186312,2,,Elena Rybakina,R,184,KAZ,25,274049,,,Linda Noskova,R,179,CZE,19,6-3 6-2 0-0,3,SF,33,8,1,53,40,31,8,9,4,4,1,4,52,28,20,9,8,2,5,4,,26,
2644,Brisbane,Hard,,A,20240105,11925977,157754,1,,Aryna Sabalenka,R,182,BLR,26,19017,8,,Victoria Azarenka,R,183,BLR,34,6-2 6-4 0-0,3,SF,51,10,3,60,44,34,7,9,3,3,3,3,56,38,26,7,9,5,8,3,,16,
2554,Auckland,Hard,,A,20240105,11927269,264983,1,,Cori Gauff,R,175,USA,20,207979,4,,Emma Navarro,R,170,USA,23,6-3 6-1 0-0,3,SF,32,10,1,46,30,28,7,8,2,2,1,2,53,37,18,8,8,1,5,2,,17,
2554,Auckland,Hard,,A,20240105,11927266,51293,2,,Elina Svitolina,R,174,UKR,29,223148,,,Xiyu Wang,L,182,CHN,23,2-6 6-4 6-3,3,SF,54,6,3,89,62,40,12,14,6,10,2,4,83,44,32,18,13,6,10,21,,54,
14504,Adelaide,Hard,,A,20240105,11943741,62924,4,,Katie Boulter,R,182,GBR,27,221410,,,Alycia Parks,R,185,USA,23,6-4 5-7 6-0,3,RR,34,1,4,86,56,39,18,14,3,5,10,7,90,61,36,15,14,8,13,29,,121,
14504,Adelaide,Hard,,A,20240105,11943745,72376,2,,Katerina Siniakova,R,174,CZE,28,52025,,,Yafan Wang,R,170,CHN,30,6-3 7-6(2) 0-0,3,RR,65,3,3,89,64,36,12,11,9,13,1,2,62,41,26,7,10,5,10,36,,71,
14504,Adelaide,Hard,,A,20240105,11943747,45902,,,Aliaksandra Sasnovich,R,174,BLR,30,262594,,,Elina Avanesyan,R,172,RUS,21,7-6(2) 4-6 6-2,3,RR,39,3,5,109,78,51,8,15,7,14,0,6,106,71,38,14,15,7,15,124,,77,
14504,Adelaide,Hard,,A,20240105,11943739,51387,12,,Taylor Townsend,L,170,USA,28,237726,,WC,Nadine Smith,U,,AUS,22,6-4 3-6 6-2,3,RR,41,0,0,100,91,42,4,14,8,17,0,0,97,83,36,5,13,10,20,76,,327,
14504,Adelaide,Hard,,A,20240105,11943737,19546,5,,Anastasia Pavlyuchenkova,R,176,RUS,33,276809,,WC,Alexandra Osborne,U,,AUS,29,6-0 6-3 0-0,3,RR,43,0,1,46,24,20,15,8,1,1,1,7,48,26,16,7,7,5,9,28,,1131,
