tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
14522,Adelaide,Hardcourt outdoor,,A,20240111,11937895,3,QF,54,195840,3,,Sebastian Korda,R,196.0,USA,24,58221,,WC,Christopher O'Connell,R,183.0,AUS,30,,6,6,0,0,0,10,1,64,38,31,16,10,3,3,4,4,0,0,0,5,4,66,43,30,11,10,5,7,21,,79,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961701,3,RR,30,79467,,WC,Omar Jasika,L,183.0,AUS,27,298247,32,,Zachary Svajda,R,175.0,USA,21,,7,4,6,0,0,1,2,90,74,50,7,15,2,5,5,6,2,0,0,5,1,103,93,52,5,15,8,13,221,,119,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961694,3,RR,41,307383,,,Abedallah Shelbayh,U,180.0,JOR,20,321404,10,,Hamad Međedovic,R,188.0,SRB,20,,6,7,6,0,0,13,6,105,62,40,25,16,5,8,7,6,2,0,0,7,7,109,74,52,16,16,9,14,223,,126,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961736,3,RR,59,185434,,,Santiago Rodriguez Taverna,R,191.0,ARG,24,205795,20,,Zsombor Piros,R,180.0,HUN,24,,6,3,7,0,0,5,3,81,73,51,4,14,3,6,2,6,6,0,0,4,5,102,93,60,4,15,10,14,286,,181,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961777,3,RR,44,157808,30,,Lloyd Harris,R,193.0,ZAF,27,267577,,,Kyrian Jacquet,R,178.0,FRA,23,,7,6,0,0,0,14,2,58,43,34,11,11,0,0,5,4,0,0,0,6,2,70,52,35,10,11,6,8,118,,239,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961775,3,RR,39,205906,4,,Hugo Gaston,L,173.0,FRA,23,232780,,,Beibit Zhukayev,R,196.0,KAZ,23,,7,6,0,0,0,2,1,72,36,30,19,11,4,5,6,3,0,0,0,8,0,68,52,34,10,10,2,4,71,,213,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961748,3,RR,30,131566,28,,Sumit Nagal,R,178.0,IND,26,338420,,WC,Edward Winter,U,178.0,AUS,19,,6,6,0,0,0,1,0,37,31,24,5,8,0,1,3,2,0,0,0,1,3,55,41,23,3,9,2,7,72,,667,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11962087,3,RR,66,187608,7,,Aleksandar Kovacevic,R,183.0,USA,25,100069,,,Vitaliy Sachko,R,188.0,UKR,26,,7,7,0,0,0,6,5,77,68,47,3,12,2,5,6,6,0,0,0,7,3,101,91,58,2,12,8,11,88,,281,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961981,3,RR,48,289146,,,Giovanni Mpetshi Perricard,R,202.99999999999997,FRA,21,145112,,,Andrea Husler,L,196.0,CHE,28,,7,3,7,0,0,19,4,105,69,53,21,16,5,6,6,6,5,0,0,15,1,87,56,45,25,17,1,2,58,,229,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961846,3,RR,49,298795,27,,Shintaro Mochizuki,R,175.0,JPN,21,275471,,WC,Tristan Schoolkate,R,183.0,AUS,23,,6,6,0,0,0,4,3,69,38,27,16,9,5,6,2,4,0,0,0,0,4,51,32,21,7,9,3,7,141,,176,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961830,3,RR,41,107357,,,Hugo Grenier,R,196.0,FRA,28,226805,19,,Maxime Cressy,R,200.99999999999997,USA,27,,4,6,6,0,0,3,3,84,64,46,8,13,4,6,6,2,3,0,0,14,8,77,48,34,12,14,6,11,183,,186,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961742,3,RR,49,145130,14,,Alex Molcan,L,178.0,SVK,26,33115,,,John Millman,R,183.0,AUS,35,,6,6,0,0,0,3,3,65,49,36,4,9,5,7,4,3,0,0,0,3,1,57,34,16,13,10,5,10,274,,950,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964080,3,RR,52,273679,,,Terence Atmane,L,193.0,FRA,22,232057,,,Emilio Nava,R,185.0,USA,22,,7,7,0,0,0,7,2,89,67,48,15,12,10,10,6,6,0,0,0,7,2,78,56,41,15,12,3,3,131,,143,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961699,3,RR,38,199395,24,,Vit Kopriva,R,178.0,CZE,27,51100,,,Oriol Roca Batalla,R,175.0,ESP,31,,6,6,0,0,0,3,1,51,41,30,7,9,1,1,3,3,0,0,0,2,1,52,46,27,2,9,1,4,123,,165,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964123,3,RR,52,163636,,,Lukas Klein,R,193.0,SVK,26,42152,,,Stefano Napolitano,R,196.0,ITA,29,,7,7,0,0,0,20,1,73,51,42,18,12,2,2,6,6,0,0,0,7,0,84,53,36,21,12,2,2,128,,129,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964094,3,RR,40,25838,8,,David Goffin,R,180.0,BEL,33,280151,29,,Gabriel Diallo,R,202.99999999999997,CAN,22,,3,6,6,0,0,8,3,73,54,39,9,13,1,3,6,3,2,0,0,11,2,97,74,46,7,13,7,11,83,,166,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964280,3,RR,51,199395,24,,Vit Kopriva,R,178.0,CZE,27,213057,,,Oliver Crawford,R,180.0,GBR,25,,6,6,0,0,0,5,3,63,45,34,9,10,2,3,4,4,0,0,0,4,1,63,43,30,10,10,6,9,123,,217,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964294,3,RR,33,273680,2,,Flavio Cobolli,R,183.0,ITA,22,185434,,,Santiago Rodriguez Taverna,R,191.0,ARG,24,,6,6,0,0,0,11,1,52,45,36,2,9,2,2,4,2,0,0,0,2,4,72,66,40,0,9,4,7,49,,277,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964265,3,RR,76,372312,,,Jakub Mensik,U,193.0,CZE,18,248846,,,Harold Mayot,R,178.0,FRA,22,,6,7,0,0,0,5,0,68,68,11,2,,,,3,6,0,0,0,1,0,77,77,10,6,,,,78,,108,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964079,,RR,13,233126,,WC,Dane Sweeny,R,170.0,AUS,23,170946,22,,Zizou Bergs,R,185.0,BEL,25,,5,7,2,0,0,16,2,81,73,46,5,13,3,6,7,5,0,0,0,1,4,85,73,40,7,13,5,9,238,,82,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964130,3,RR,53,349089,,,Dino Prizmic,R,188.0,HRV,18,172482,,,Aziz Dougaz,L,188.0,TUN,27,,6,6,0,0,0,3,4,56,41,35,7,10,1,1,3,4,0,0,0,2,4,74,59,37,6,9,9,11,199,,232,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964343,3,RR,30,79467,,WC,Omar Jasika,L,183.0,AUS,27,307383,,,Abedallah Shelbayh,U,180.0,JOR,20,,2,6,6,0,0,1,3,76,55,39,11,12,6,8,6,1,2,0,0,11,8,58,29,25,9,11,1,5,221,,223,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964131,3,RR,78,244420,,,Jesper De Jong,R,180.0,NLD,24,196122,31,,Camilo Ugo Carabelli,R,185.0,ARG,25,,7,3,7,0,0,7,5,123,74,56,25,16,12,14,6,6,6,0,0,9,2,116,59,49,29,17,3,4,120,,100,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964663,3,RR,49,107357,,,Hugo Grenier,R,196.0,FRA,28,289146,,,Giovanni Mpetshi Perricard,R,202.99999999999997,FRA,21,,5,6,7,0,0,14,2,95,82,68,4,17,0,1,7,4,6,0,0,18,4,93,83,69,3,17,1,2,183,,58,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964295,3,RR,33,157808,30,,Lloyd Harris,R,193.0,ZAF,27,205906,4,,Hugo Gaston,L,173.0,FRA,23,,6,6,0,0,0,7,0,33,25,21,7,7,0,0,0,2,0,0,0,1,2,49,36,19,4,7,6,11,118,,71,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964378,3,RR,30,187608,7,,Aleksandar Kovacevic,R,183.0,USA,25,298795,27,,Shintaro Mochizuki,R,175.0,JPN,21,,1,6,6,0,0,11,3,71,66,44,1,12,3,6,6,2,2,0,0,10,6,61,55,36,0,11,2,6,88,,141,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964632,3,RR,72,131566,28,,Sumit Nagal,R,178.0,IND,26,145130,14,,Alex Molcan,L,178.0,SVK,26,,6,6,0,0,0,5,1,77,68,42,3,10,5,7,4,4,0,0,0,2,4,78,67,40,2,10,6,10,73,,274,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964073,3,RR,51,199661,,,Mate Valkusz,R,183.0,HUN,25,95801,,,Andrea Vavassori,R,193.0,ITA,29,,6,6,0,0,0,3,3,61,36,27,15,9,6,6,1,4,0,0,0,5,3,54,33,20,9,8,5,8,425,,206,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11961693,3,RR,36,213057,,,Oliver Crawford,R,180.0,GBR,25,258908,,,Francesco Passaro,R,180.0,ITA,23,,6,6,6,0,0,8,5,112,85,65,13,16,8,8,4,7,4,0,0,18,4,94,75,56,11,16,3,5,217,,132,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11964093,3,RR,32,237188,26,,Giulio Zeppieri,L,183.0,ITA,22,56017,,,Alexander Ritschard,R,193.0,CHE,30,,6,6,0,0,0,6,0,43,28,24,12,9,0,0,3,3,0,0,0,2,7,52,27,20,9,9,1,4,153,,175,
2363,Australian Open,Hardcourt outdoor,,G,20240111,11959713,3,RR,27,349089,,,Dino Prizmic,R,188.0,HRV,18,207081,,,Duje Ajdukovic,R,188.0,HRV,23,,7,6,0,0,0,3,0,48,34,24,12,9,0,0,5,0,0,0,0,1,2,61,40,23,8,9,5,9,199,,136,
14522,Adelaide,Hardcourt outdoor,,A,20240111,11937881,3,QF,49,258749,,,Jack Draper,L,193.0,GBR,22,138546,1,,Tommy Paul,R,185.0,USA,27,,6,6,0,0,0,3,2,47,24,22,13,8,1,1,1,4,0,0,0,2,1,54,37,21,8,9,3,7,28,,13,
14522,Adelaide,Hardcourt outdoor,,A,20240111,11937893,3,SF,29,254742,7,,Jiri Lehecka,R,185.0,CZE,22,195840,3,,Sebastian Korda,R,196.0,USA,24,,6,6,0,0,0,7,1,58,39,30,11,8,3,3,2,1,0,0,0,0,2,55,32,18,9,7,10,14,26,,21,
14522,Adelaide,Hardcourt outdoor,,A,20240111,11937890,3,SF,36,258749,,,Jack Draper,L,193.0,GBR,22,163480,8,,Alexander Bublik,R,196.0,KAZ,27,,7,6,0,0,0,8,0,59,35,28,16,11,1,3,6,4,0,0,0,7,9,74,45,36,7,11,1,4,28,,23,
